Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0.0772,Wed Jun 06 16:39:16 +0000 2018,0.929,0.0,0.071,BREAKING: President Trump has commuted the life sentence of Alice Johnson following a White House meeting last week… https://t.co/xLGQ5vvNtQ,31,CNN
0.3384,Wed Jun 06 16:28:36 +0000 2018,0.888,0.0,0.112,"President Trump says first lady Melania Trump is ""doing really well"" ahead of her first public appearance since May… https://t.co/mNU2ij342U",32,CNN
-0.4939,Wed Jun 06 16:23:13 +0000 2018,0.862,0.138,0.0,"""It wasn't my finest hour."" Former President Bill Clinton says he was mad at himself over his recent comments about… https://t.co/ueAskMrNnD",33,CNN
0.4404,Wed Jun 06 16:11:08 +0000 2018,0.822,0.0,0.178,The European Union's top court ruled that same-sex couples are entitled to the same residency rights as other marri… https://t.co/jExDrtdNck,34,CNN
0.2023,Wed Jun 06 16:03:05 +0000 2018,0.921,0.0,0.079,"House Speaker Paul Ryan says he agrees with Republican Rep. Trey Gowdy that the FBI did ""exactly"" what it was suppo… https://t.co/Xhbm8kD6MT",35,CNN
0.0,Wed Jun 06 15:57:00 +0000 2018,1.0,0.0,0.0,Watch these homes being built using a 3D printer https://t.co/igaBP4BFwG https://t.co/sGcYS89MDO,36,CNN
0.0,Wed Jun 06 15:49:22 +0000 2018,1.0,0.0,0.0,World Cup 2022: Meet the Qataris making the most of soccer's showcase https://t.co/DjpV7FTj0j https://t.co/stmyDwlsrb,37,CNN
0.3612,Wed Jun 06 15:38:22 +0000 2018,0.878,0.0,0.122,"Will we ever fly like the Jetsons? This company just unveiled its first commercial flying car, Flyer — and… https://t.co/ch1x4FM5EX",38,CNN
0.8271,Wed Jun 06 15:36:18 +0000 2018,0.558,0.0,0.442,Bill Gates is giving 2018 college grads his favorite new book for free https://t.co/vIe4FaQTFq,39,CNN
0.0,Wed Jun 06 15:34:45 +0000 2018,1.0,0.0,0.0,RT @cnni: JUST IN: Dozens of firefighters are tackling a blaze at a hotel in the Knightsbridge area of London https://t.co/ChtVjxJEv5 https…,40,CNN
-0.1531,Wed Jun 06 15:26:13 +0000 2018,0.926,0.074,0.0,"""On a personal level, we can all follow the ethos of the Miss America competition, and make a conscious effort to s… https://t.co/T3LUphyJWN",41,CNN
0.0,Wed Jun 06 15:14:16 +0000 2018,1.0,0.0,0.0,"Most Americans say they aren't booking a vacation to space -- except millennials. 63% say they'd be up for it, acco… https://t.co/TQ8Mr0ffOc",42,CNN
0.0,Wed Jun 06 15:04:09 +0000 2018,1.0,0.0,0.0,"CNN is launching “Anderson Cooper Full Circle” — a daily interactive global news brief on Facebook Watch, every wee… https://t.co/9GJ59EhFij",43,CNN
-0.3818,Wed Jun 06 15:01:56 +0000 2018,0.874,0.126,0.0,President Trump has unblocked the 7 plaintiffs who sued him and members of his administration for blocking them on… https://t.co/dET0H76kum,44,CNN
0.3182,Wed Jun 06 14:51:07 +0000 2018,0.892,0.0,0.108,"The White House has assembled the paperwork to pardon dozens of people, two sources with knowledge tell CNN, signal… https://t.co/SLOtjill8C",45,CNN
0.4019,Wed Jun 06 14:48:16 +0000 2018,0.87,0.0,0.13,EPA administrator Scott Pruitt enlisted the help of an aide to inquire about the possibility of a business opportun… https://t.co/07Cii3hC3k,46,CNN
-0.4019,Wed Jun 06 14:40:49 +0000 2018,0.876,0.124,0.0,"A random printing error left more than 118,000 California voters off rosters in Los Angeles County in the midst of… https://t.co/TGTWQ9b45w",47,CNN
-0.2263,Wed Jun 06 14:32:17 +0000 2018,0.837,0.102,0.06,"No, Sarah Sanders, reporters aren't trying to 'tear' you down. They want you to do your job | Analysis by… https://t.co/zRo91dl21Y",48,CNN
0.0,Wed Jun 06 14:22:38 +0000 2018,1.0,0.0,0.0,Elon Musk tells shareholders Tesla won't run out of cash any time soon https://t.co/1cfTKfPtum https://t.co/e6HHKWjlTr,49,CNN
0.0,Wed Jun 06 14:15:09 +0000 2018,1.0,0.0,0.0,"Facebook is partnering with ABC, CNN, Fox News and other media organizations to launch a series of news programs on… https://t.co/FPyCPYQSoP",50,CNN
0.6369,Wed Jun 06 14:11:01 +0000 2018,0.794,0.0,0.206,Egypt is building The Grand Egyptian Museum. The cost? More than $1 billion. It will re-house and restore some of t… https://t.co/i3PTBY1OXa,51,CNN
0.1027,Wed Jun 06 14:08:58 +0000 2018,0.705,0.135,0.16,An Auschwitz survivor warned the Italian Senate away from anti-immigrant actions https://t.co/m9QKo01CiJ https://t.co/zb0cy2yZvm,52,CNN
-0.4019,Wed Jun 06 14:00:07 +0000 2018,0.769,0.231,0.0,The US trade dispute with Mexico is heating up https://t.co/u8MvddePZg,53,CNN
-0.2263,Wed Jun 06 13:51:19 +0000 2018,0.704,0.169,0.127,"San Francisco approves a proposition to ban the sale of flavored tobacco products, including menthol cigarettes and… https://t.co/LcKvfWWxZj",54,CNN
0.5267,Wed Jun 06 13:43:34 +0000 2018,0.603,0.138,0.259,"Kate Spade's death reminds us that success, money and apparent happiness may have nothing to do with a person's rea… https://t.co/ihQ8vcySuM",55,CNN
0.0,Wed Jun 06 13:42:01 +0000 2018,1.0,0.0,0.0,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/sRdXOIQixp",56,CNN
0.0,Wed Jun 06 13:37:20 +0000 2018,1.0,0.0,0.0,New Mexico's Deb Haaland likely to be first Native American congresswoman https://t.co/cGzL59IuH4 https://t.co/RSWxR69b2T,57,CNN
-0.3182,Wed Jun 06 13:31:19 +0000 2018,0.892,0.108,0.0,White House counselor Kellyanne Conway left open the possibility that the press aide who mocked Sen. John McCain co… https://t.co/rxvNXJbUZM,58,CNN
0.3818,Wed Jun 06 13:25:08 +0000 2018,0.867,0.0,0.133,Former FBI Deputy Director Andrew McCabe seeks immunity for testimony in congressional hearing focused on how senio… https://t.co/0dNxyEJxu8,59,CNN
0.0,Wed Jun 06 13:19:11 +0000 2018,1.0,0.0,0.0,"For the first time in at least 20 years, there are now more job openings than there are people looking for work, ac… https://t.co/L1ybY5oSnj",60,CNN
0.5574,Wed Jun 06 13:11:01 +0000 2018,0.735,0.0,0.265,How a positive statement made millions for this T-shirt company https://t.co/AD9MzD6QuE https://t.co/OJk1eH11L0,61,CNN
0.0,Wed Jun 06 13:03:00 +0000 2018,1.0,0.0,0.0,What Kate Spade modeled for young women -- and their moms | By Hilary George-Parkin via @CNNOpinion… https://t.co/knZHYNrDW2,62,CNN
-0.0516,Wed Jun 06 13:00:08 +0000 2018,0.735,0.154,0.11,RT @CNNMoney: Economist Lindsey Piegza warns that a recession could hit as soon as 2020 if the Federal Reserve raises interest rates too qu…,63,CNN
0.0,Wed Jun 06 12:57:20 +0000 2018,1.0,0.0,0.0,"RT @CNNPolitics: Kellyanne Conway says President Trump canceled the White House event with the Philadelphia Eagles because ""he didn't want…",64,CNN
-0.6124,Wed Jun 06 12:54:49 +0000 2018,0.808,0.192,0.0,"Three sons, ages 13, 6, and 2, are in a New York state detention center. Another son is in a detention center in Ca… https://t.co/j4cTZTQ7Vw",65,CNN
0.0,Wed Jun 06 12:47:58 +0000 2018,1.0,0.0,0.0,Inside the hotel where Trump and Kim will meet https://t.co/GmE9SRvb0B https://t.co/ibjYumjFIZ,66,CNN
0.0,Wed Jun 06 12:41:12 +0000 2018,1.0,0.0,0.0,Syphilis cases hit highest level in almost 70 years in England https://t.co/2GZ7hauoGN https://t.co/0rpU0cht8A,67,CNN
-0.6369,Wed Jun 06 12:32:32 +0000 2018,0.648,0.273,0.079,"Seattle just passed a controversial ""Amazon tax"" to alleviate the city's housing crisis, and now there's considerat… https://t.co/6mKSbwx90L",68,CNN
0.6124,Wed Jun 06 12:21:58 +0000 2018,0.667,0.0,0.333,Social Security must reduce benefits in 2034 if reforms aren't made https://t.co/eMy25j6SGE,69,CNN
0.0,Wed Jun 06 12:15:12 +0000 2018,1.0,0.0,0.0,"5 things for Wednesday:

- Politics
- Guatemala volcano
- European Union &amp; same-sex couples
- Facebook
- Kate Spade… https://t.co/scbgYqtu7g",70,CNN
0.2716,Wed Jun 06 12:05:07 +0000 2018,0.901,0.0,0.099,Tuesday was the most important night yet on 2018's political calendar. Here are six takeaways from last night's pri… https://t.co/atMKVRBbPg,71,CNN
-0.4939,Wed Jun 06 12:00:21 +0000 2018,0.824,0.176,0.0,Lava filled up this Hawaiian bay and destroyed what could be hundreds of homes https://t.co/ioszLw3KRn https://t.co/kiZ9GlYshb,72,CNN
-0.128,Wed Jun 06 11:53:11 +0000 2018,0.88,0.12,0.0,America may soon face its biggest labor strike in decades https://t.co/t0AHirDvA0 https://t.co/SUPncZIUYt,73,CNN
-0.4939,Wed Jun 06 11:47:08 +0000 2018,0.833,0.167,0.0,Van Jones says it's 'beyond insulting' for the White House to lecture black people on patriotism… https://t.co/pb89wdTpmN,74,CNN
0.0,Wed Jun 06 11:39:28 +0000 2018,1.0,0.0,0.0,"The family of Marjory Stoneman Douglas High School student activist David Hogg was the target of a ""swatting"" incid… https://t.co/dq3ZHzILg6",75,CNN
0.8074,Wed Jun 06 11:31:59 +0000 2018,0.684,0.0,0.316,"If you haven't been to Hong Kong in a while, a huge variety of exciting attractions have either just opened or are… https://t.co/MoxDFas0K3",76,CNN
0.4404,Wed Jun 06 11:22:14 +0000 2018,0.83,0.0,0.17,The European Union's top court has ruled that same-sex couples are entitled to the same residency rights as other m… https://t.co/RCgzzVGAQw,77,CNN
-0.296,Wed Jun 06 11:10:05 +0000 2018,0.901,0.099,0.0,"For the first time since 2010, no women are featured on Forbes' list of the world's 100 highest-paid sports stars… https://t.co/xBoTWfP05z",78,CNN
0.0,Wed Jun 06 11:00:14 +0000 2018,1.0,0.0,0.0,More than 100 monuments and symbols have been removed from 22 states and DC since the Charleston church shooting --… https://t.co/8tVieZLGSc,79,CNN
0.0,Wed Jun 06 10:48:20 +0000 2018,1.0,0.0,0.0,White House again refuses to comment on previous false statements https://t.co/SOI8F52QLj https://t.co/nPyGynkVqv,80,CNN
0.0,Wed Jun 06 10:36:06 +0000 2018,1.0,0.0,0.0,8 states held primary elections yesterday. Here's how it all went down. https://t.co/Wngw6vFOJ9 https://t.co/mZQR7P1Zay,81,CNN
0.6705,Wed Jun 06 10:34:05 +0000 2018,0.776,0.0,0.224,"Henry Winkler, known for playing Arthur ""Fonzie"" Fonzarelli in ""Happy Days,"" tweeted that he was one of the many Ca… https://t.co/v9KSgQmMuf",82,CNN
-0.4939,Wed Jun 06 10:22:13 +0000 2018,0.789,0.211,0.0,A stolen armored personnel carrier led police on a two-hour chase through Virginia https://t.co/TQ0w2BnOfJ https://t.co/TJ8khq6w1g,83,CNN
0.0,Wed Jun 06 10:10:02 +0000 2018,1.0,0.0,0.0,Democrats flip 42nd state legislative seat since President Trump took office https://t.co/EBYvXHwhKi https://t.co/6ATgwxJsQy,84,CNN
-0.6486,Wed Jun 06 10:03:06 +0000 2018,0.656,0.255,0.089,"Kelly Sadler, the White House communications aide who joked about Sen. John McCain's brain cancer last month, no lo… https://t.co/J68VhZhFBF",85,CNN
